"hh_id","region","urban","sex_head","age_head","education_head","employment_type","asset_index","subjective_poverty","food_insecurity","household_size","program_access","chronic_illness"
1,"South","Rural","Male",56,"Primary","Informal","Medium","Average","Moderate",10,0,0
2,"South","Rural","Female",48,"Primary","Formal","Medium","Well-off","Severe",9,0,1
3,"South","Urban","Female",36,"Primary","Formal","High","Poor","Secure",4,0,0
4,"Central","Rural","Male",30,"Primary","Informal","Low","Well-off","Moderate",3,1,0
5,"South","Rural","Female",46,"None","Formal","Low","Poor","Secure",4,0,0
6,"Central","Rural","Male",48,"Primary","Informal","High","Poor","Secure",2,0,0
7,"Central","Rural","Female",48,"Secondary+","Formal","High","Poor","Mild",2,0,1
8,"Central","Rural","Female",51,"None","Formal","Low","Well-off","Severe",6,0,0
9,"South","Urban","Male",39,"None","Informal","Low","Poor","Secure",1,0,0
10,"North","Urban","Male",39,"Secondary+","Subsistence","High","Average","Mild",7,0,0
11,"Central","Urban","Male",48,"None","Formal","Medium","Average","Secure",10,0,0
12,"Central","Rural","Male",39,"Secondary+","Informal","Medium","Poor","Mild",4,0,0
13,"North","Rural","Female",60,"None","Subsistence","Medium","Well-off","Secure",5,1,0
14,"Central","Rural","Male",47,"Secondary+","Formal","Low","Average","Mild",5,1,0
15,"South","Rural","Male",38,"Secondary+","Informal","Medium","Poor","Moderate",8,0,0
16,"North","Rural","Male",23,"Secondary+","Formal","Medium","Average","Secure",4,0,0
17,"South","Urban","Male",37,"Secondary+","Subsistence","High","Poor","Mild",4,0,1
18,"South","Rural","Female",70,"Primary","Informal","Low","Average","Moderate",6,1,1
19,"North","Rural","Male",38,"Secondary+","Subsistence","Low","Average","Mild",3,1,0
20,"North","Rural","Male",35,"Secondary+","Subsistence","Low","Poor","Moderate",3,0,1
21,"North","Rural","Male",53,"None","Informal","Medium","Well-off","Severe",7,0,0
22,"North","Urban","Male",50,"Primary","Informal","Medium","Well-off","Severe",10,0,1
23,"South","Urban","Female",54,"Secondary+","Informal","Low","Poor","Secure",8,0,0
24,"Central","Rural","Male",42,"Secondary+","Formal","Low","Average","Moderate",4,0,0
25,"South","Urban","Male",58,"None","Formal","Low","Average","Moderate",6,0,0
26,"Central","Rural","Female",31,"Primary","Formal","Medium","Average","Secure",9,1,0
27,"North","Rural","Male",44,"Primary","Formal","High","Poor","Secure",10,0,0
28,"Central","Rural","Female",37,"Secondary+","Informal","Medium","Poor","Secure",8,0,0
29,"South","Rural","Female",53,"None","Informal","Low","Average","Mild",2,0,1
30,"Central","Urban","Male",47,"None","Formal","Low","Well-off","Secure",10,0,0
31,"North","Rural","Female",58,"Primary","Subsistence","Medium","Poor","Moderate",3,0,0
32,"South","Urban","Female",70,"Primary","Subsistence","Low","Average","Moderate",2,1,1
33,"South","Urban","Female",47,"None","Informal","Low","Well-off","Secure",1,0,0
34,"North","Rural","Male",39,"None","Informal","High","Average","Secure",10,0,1
35,"South","Rural","Male",35,"Secondary+","Informal","Low","Well-off","Moderate",9,0,0
36,"Central","Rural","Female",42,"None","Formal","Low","Well-off","Severe",7,0,0
37,"North","Rural","Male",44,"Secondary+","Informal","Low","Poor","Severe",9,0,1
